region,2010,2011,2012,2013,2014,2015
Riyadh,131554,121551,165853,152864,125299,138974
Makkah,106818,117219,125365,90717,78496,102607
Eastern Region,91714,82992,84726,83481,78146,68280
Asir,18451,21310,20716,19546,19437,18806
Qassim,13190,16962,19604,18302,16961,16924
Madinah,12652,14796,18463,15351,15521,14295
Tabouk,10500,13235,12953,13944,11812,12137
Northern Boarder,7527,8120,10877,10726,9897,11260
Al-Jouf,5569,7875,9471,10325,9100,9700
Hail,5459,6782,7345,7694,8439,7968
Jazan,5325,5606,6453,7139,6977,5378
Najran,3699,2840,2946,3052,3165,3079
Al-Baaha,3452,2836,2612,2791,2053,1989
